id,Linkin Nimi,Linkin Kuvaus,Linkin hallintaorg,UniqueNimi,Kieli,Kohde (Organisaatio),Url
1,nimi,test,Kaikki organisaatiot,nimi,fi,,https://www.facebook.com
5,Testilinkki2,test,Helsinki,Testilinkki2,fi,Testimaa,https://www.hs.fi
49,Tervetuloa Suomeen!,16 linkkiä testi aloitus linkkipankki EKS 26.11.12 / JR 7.12.,Infopankki,Tervetuloa Suomeen!,fi,Infopankki.fi,http://www.infopankki.fi/fi-FI/tervetuloa_suomeen/
50,Finnish Courses test,testi,Infopankki,Finnish Courses test,fi,Infopankki,https://finnishcourses.fi/fi
62,Testilinkki,Ollin testilinkki,Kaikki organisaatiot,Testilinkki,fi,Testikohde,https://www.ampparit.com
78,fsddfs,,Kaikki organisaatiot,fsddfs,fi,dsadsad,fdsfdsf
111,Koulutus,"test 111 muokattu, julkaise",Infopankki,Koulutus,fi,Infopankki.fi (fi),http://www.infopankki.fi/fi-FI/koulutus/
134,Ulkomaalaisen rekisteröinti,test,Infopankki,Ulkomaalaisen rekisteröinti,fi,Maistraatti,https://dvv.fi/ulkomaalaisen-rekisterointi
135,Helsingin maistraatti,test,Infopankki,Helsingin maistraatti,fi,Maistraatti,http://www.maistraatti.fi/fi/maistraatit/Etela-Suomen-laani/Helsingin-maistraatti/Helsingin-maistraatti/
136,Espoon maistraatti,test,Infopankki,Espoon maistraatti,fi,Maistraatti,http://www.maistraatti.fi/fi/maistraatit/Etela-Suomen-laani/Lansi-Uudenmaan-maistraatti/Espoon-yksikko/
137,testi,Test,Infopankki,testi,fi,Maistraatti,http://www.maistraatti.fi/maistraatit/Etela-Suomen-laani/Ita-Uudenmaan-maistraatti/Vantaan-yksikko/
139,Toimipisteiden yhteystiedot,test,Infopankki,Toimipisteiden yhteystiedot,fi,Työ- ja elinkeinohallinto,https://www.te-palvelut.fi
142,testiKurssihaku,test,Infopankki,testiKurssihaku,fi,Finnishcourses.fi                                           ,https://finnishcourses.fi/fi
143,testiKurssihaku2,test,Infopankki,testiKurssihaku2,fi,finnishcourses.fi,https://finnishcourses.fi/fi
147,Esitteitä ja videoita maahanmuuttajille,test,Infopankki,Esitteitä ja videoita maahanmuuttajille,fi,te-info.fi,http://te-info.fi/
181,testilinkki alleviivaus,testilinkki alleviivaus nimessä 19.12. eks,Infopankki,testilinkki alleviivaus,fi,infopankki.fi,https://finnishcourses.fi/
186,testiKuntien työpaikkoja POISTETAAN,test,Infopankki,testiKuntien työpaikkoja POISTETAAN,fi,seure,https://www.seure.fi/
187,Wikipedia - tietoa elämästä,test,Infopankki,Wikipedia - tietoa elämästä,fi,Wikipedia,https://fi.wikipedia.org/wiki/El%C3%A4m%C3%A4
198,linkkihakutesti,testilinkkieiurlia,Infopankki,linkkihakutesti,fi,helsinki,
199,Tietoa Norjasta,TESTI,Infopankki,Tietoa Norjasta,fi,nyinorge.no,http://www.nyinorge.no/no/
203,Asuminen,testi,Infopankki,Asuminen,fi,Infopankki,http://www.infopankki.fi/fi-FI/asuminen/
204,multicultural and information centre,testi,Infopankki,multicultural and information centre,fi,Infopankki,http://www.mcc.is/english/
209,Tietoa Kanadasta ,testi,Infopankki,Tietoa Kanadasta ,fi,Inmylanguage.org ,
211,Työsiirtolainen,TESTI,Infopankki,Työsiirtolainen,fi,Nyinnorge.no,http://www.nyinorge.no/no/Ny-i-Norge-velg-sprak/Ny-i-Norge/
216,Pitkä testinimi sovellusvirhe,test,Infopankki,Pitkä testinimi sovellusvirhe,fi,infopankki.fi,https://www.infofinland.fi/
219,suomi,testi,Infopankki,suomi,fi,infopankki.fi - suomi,http://www.infopankki.fi/fi-FI/home/
223,Ulkomaalainen töissä Suomessa,TESTI,Infopankki,Ulkomaalainen töissä Suomessa,fi,Työ- ja elinkeinoministeriö,https://www.te-palvelut.fi
224,Tietoa turvapaikanhakijalle,TESTI,Infopankki,Tietoa turvapaikanhakijalle,fi,Maahanmuuttovirasto,http://www.migri.fi/download/16436_tietoa_tphakijalle_fi.pdf
233,Ammatilliset oppimisympäristöt,TESTI,Infopankki,Ammatilliset oppimisympäristöt,fi,Nappiparisto,http://ammatillisetoppimisymparistot.wikispaces.com/file/view/Nappiparisto-esite+092012.docx/364698232/Nappiparisto-esite%20092012.docx
236,Eduskunta,TESTI,Infopankki,Eduskunta,fi,Suomen Eduskunta,http://web.eduskunta.fi/dman/Document.phx?documentId=kn17112110609872&cmd=download
237,Hyvä saavutettavuus,TESTI,Infopankki,Hyvä saavutettavuus,fi,selko.fi,http://www.selko-e.fi/oppaat/kaikille_hyva_saavutettavuus.ppt
238,Kotoutumisopas,TESTI,Infopankki,Kotoutumisopas,fi,TE-toimisto,http://www.te-info.fi/te_pdf/ely_esite_suomi.pdf
240,Japanin Suomen suurlähetystö fi,testi,Infopankki,Japanin Suomen suurlähetystö fi,fi,Suurlähetystö,https://www.fi.emb-japan.go.jp/
241,bosnialinkki fi,testi,Infopankki,bosnialinkki fi,fi,UM,
242,testilinkki linkki ja dokumentti riippuvuudet,test,Infopankki,testilinkki linkki ja dokumentti riippuvuudet,fi,infopankki,http://www.infopankki.fi/sv-FI/Utbildning/
245,unkarilinkki fi,testi,Infopankki,unkarilinkki fi,fi,Kela,
