id;Linkin Nimi;Linkin Kuvaus;UniqueNimi;Kieli;Kohde (Organisaatio);Osoite (URL);Käyttö dokumenteissa;Kunta
134;Ulkomaalaisen rekisteröinti;test;Ulkomaalaisen rekisteröinti;fi;Maistraatti;https://dvv.fi/ulkomaalaisen-rekisterointi;436,451,452,453,454,455,456,457,458,459,460,461,462,463,464,563,564;
135;Helsingin maistraatti;test;Helsingin maistraatti;fi;Maistraatti;http://www.maistraatti.fi/fi/maistraatit/Etela-Suomen-laani/Helsingin-maistraatti/Helsingin-maistraatti/;436,451,452,453,454,455,456,457,458,459,460,461,462,463,464;
136;Espoon maistraatti;test;Espoon maistraatti;fi;Maistraatti;http://www.maistraatti.fi/fi/maistraatit/Etela-Suomen-laani/Lansi-Uudenmaan-maistraatti/Espoon-yksikko/;436,451,452,453,454,455,456,457,458,459,460,461,462,463,464,653,654,662,663;
137;testi;Test;testi;fi;Maistraatti;http://www.maistraatti.fi/maistraatit/Etela-Suomen-laani/Ita-Uudenmaan-maistraatti/Vantaan-yksikko/;436,451,452,453,454,455,456,457,458,459,460,461,462,463,464;
139;Toimipisteiden yhteystiedot;test;Toimipisteiden yhteystiedot;fi;Työ- ja elinkeinohallinto;https://www.te-palvelut.fi;436,451,452,453,454,455,456,457,458,459,460,461,462,463,464,563,564;
142;testiKurssihaku;test;testiKurssihaku;fi;Finnishcourses.fi                                           ;https://finnishcourses.fi/fi;480,563,564;
143;testiKurssihaku2;test;testiKurssihaku2;fi;finnishcourses.fi;https://finnishcourses.fi/fi;436,451,452,453,454,455,456,457,458,459,460,461,462,463,464,563;
147;Esitteitä ja videoita maahanmuuttajille;test;Esitteitä ja videoita maahanmuuttajille;fi;te-info.fi;http://te-info.fi/;465,563,564,653,654,662,663;
181;testilinkki alleviivaus;testilinkki alleviivaus nimessä 19.12. eks;testilinkki alleviivaus;fi;infopankki.fi;https://finnishcourses.fi/;510;
186;testiKuntien työpaikkoja POISTETAAN;test;testiKuntien työpaikkoja POISTETAAN;fi;seure;https://www.seure.fi/;563,578;
187;Wikipedia - tietoa elämästä;test;Wikipedia - tietoa elämästä;fi;Wikipedia;https://fi.wikipedia.org/wiki/El%C3%A4m%C3%A4;510;
199;Tietoa Norjasta;TESTI;Tietoa Norjasta;fi;nyinorge.no;http://www.nyinorge.no/no/;;
203;Asuminen;testi;Asuminen;fi;Infopankki;http://www.infopankki.fi/fi-FI/asuminen/;737;
204;multicultural and information centre;testi;multicultural and information centre;fi;Infopankki;http://www.mcc.is/english/;;
211;Työsiirtolainen;TESTI;Työsiirtolainen;fi;Nyinnorge.no;http://www.nyinorge.no/no/Ny-i-Norge-velg-sprak/Ny-i-Norge/;;
