sivun_id;Kieli;Nimi valikossa;Kuvaus;URL;Dokumentin ID;Dokumentin nimi
237acc2f-ed06-4569-8521-1f3fc3c11d71;en;Infopankki website;;;;
fc5d1355-6669-4536-a98d-40ec05a7f46c;en;;;;;
46995fe0-2ec6-4c78-9ae8-bc8cfb952d10;en;;;;;
a1c69b58-877c-4f7e-a624-f2ab61c881ae;en;Front page;InfoFinland is your guide to life in Finland. Simple, clear, and up-to-date.;en/frontpage*;6581;Tiesitkö..? kuntatieto (en)
e1d811ca-a89e-4885-a274-b5c434858dc4;en;Moving to Finland;Information about immigration and residence permits to Finland.  ;en/moving-to-finland;;
51c5216c-a8ea-4112-b281-ba9ce8658c77;en;Coronavirus and moving to Finland;;en/moving-to-finland/coronavirus;8145;Koronavirus ja muutto Suomeen (en)
6349989c-5b2c-4248-966e-acb55c7f5206;en;EU citizens;Immigration|EU|EU-citizen;en/moving-to-finland/eu-citizens;7887;EU-kansalaiset 101 (en)
183cc97a-7f9d-4168-b878-2a8bb5106b8f;en;Registration of an EU citizen’s right of residence;Immigration|EU|EU-citizen|Registering a right of residence;en/moving-to-finland/eu-citizens/registration-of-an-eu-citizens-right-of-residence;7873;EU-kansalaisen oleskeluoikeuden rekisteröinti (en)
df23804d-1074-4658-bdc1-4f284027f013;en;Non-EU citizens;;en/moving-to-finland/non-eu-citizens;;
85f8f2ea-7704-45d3-9a73-adff4c0c57a2;en;Work in Finland;Immigration|Residence permits|Work permits|Labour immigration;en/moving-to-finland/non-eu-citizens/coming-to-work-in-finland;7228;Töihin Suomeen uusi (en)
42aeaa3f-f711-4db3-a7cb-0528dcb4049b;en;Entrepreneur in Finland;Immigration|Residence permits|Entrepreneurs|Start-up;en/moving-to-finland/non-eu-citizens/becoming-an-entrepreneur-in-finland;7240;Suomeen yrittäjäksi uusi (en)
d22f24e0-0abf-42db-b14a-9f491f2284ba;en;Study in Finland;Immigration|Residence permits|Foreign student|Studies;en/moving-to-finland/non-eu-citizens/coming-to-study-in-finland;7254;Opiskelemaan Suomeen uusi (en)
cdc59818-fe2f-4887-8887-3efd6fa17057;en;Family member in Finland;Immigration|Residence permits|Family members|Family reunification;en/moving-to-finland/non-eu-citizens/moving-to-finland-to-be-with-a-family-member;7269;Perheenjäsenen luokse Suomeen (en)
d5ba888c-a297-43d6-8d2d-478538e67308;en;Residence permit for a spouse;Immigration|Residence permits|Family reunification|Spouses;en/moving-to-finland/non-eu-citizens/moving-to-finland-to-be-with-a-family-member/residence-permit-for-a-spouse;7280;Oleskelulupa puolisolle (en)
4d3a09ed-eb6b-48f5-a3e9-f99c5913b8c9;en;Asylum in Finland;Immigration|Asylum seekers|Asylum|Residence permits;en/moving-to-finland/non-eu-citizens/coming-to-finland-as-an-asylum-seeker;7314;Turvapaikanhakijana Suomeen uusi (en)
36e3de2f-bea0-412b-8f26-71c1c2c67133;en;Quota refugees to Finland;Immigration|Refugees|Quota refugees|Residence permits;en/moving-to-finland/non-eu-citizens/coming-to-finland-as-a-refugee;7326;Pakolaisena Suomeen uusi (en)
92dd7422-2524-40cf-8282-05776b7733b5;en;Remigration to Finland;Immigration|Returnees|Residence permits;en/moving-to-finland/non-eu-citizens/coming-to-finland-as-a-returnee;1841;Paluumuuttajana Suomeen 101 (en)
c23f91eb-3256-47a1-8d28-c4fb7e66fb65;en;A short stay in Finland;Immigration|Visas|Exemption from visa|Schengen visa;en/moving-to-finland/non-eu-citizens/a-short-stay-in-finland;4529;Matkailijana Suomessa 101 (en)
2d8f220c-6b38-4977-b41c-01238bd03dca;en;Residence permit extension;Immigration|Residence permits;en/moving-to-finland/non-eu-citizens/residence-permit-extension;1465;Jatko-oleskelulupa 101 (en)
d2d9a08c-bc2f-4db6-8030-bdc906a91be5;en;If the reason for your residence in Finland changes;Immigration|Residence permits;en/moving-to-finland/non-eu-citizens/residence-permit-extension/if-the-reason-for-your-residence-in-finland-changes;1507;Jos Suomessa oleskelusi syy muuttuu 101 (en)
5946cdea-2b3d-4622-83f1-685d776945aa;en;Permanent residence permit;Immigration|Residence permits|Permanent residence permit;en/moving-to-finland/non-eu-citizens/residence-permit-extension/permanent-residence-permit;7413;Pysyvä oleskelulupa (en)
94a94e4c-720e-4ce1-b1df-68e0e83fdc86;en;Residence permit problems;Immigration|Residence permits|Problems;en/moving-to-finland/non-eu-citizens/residence-permit-problems;1535;Oleskelulupaongelmat 101 (en)
cf78ef19-0828-4204-9c7c-4455a4f40154;en;Negative residence permit decision;Immigration|Residence permits|Deportation|Voluntary return;en/moving-to-finland/non-eu-citizens/residence-permit-problems/leaving-finland;1563;Poistuminen Suomesta 101 (en)
df49de1f-9f5f-4c3c-9cae-22a58be08a65;en;Can I lose my residence permit?;Immigration|Residence permits;en/moving-to-finland/non-eu-citizens/residence-permit-problems/can-i-lose-my-residence-permit;1577;Voinko menettää oleskeluluvan? 101 (en)
7ed88fce-2bae-44e2-bfb3-efc5bb9a04d0;en;In Finland without a residence permit;Immigration|Residence permits|Undocumented persons;en/moving-to-finland/non-eu-citizens/residence-permit-problems/in-finland-without-a-residence-permit;1605;Suomessa ilman oleskelulupaa 101 (en)
14c38017-018a-49b8-90b2-fed2e155011d;en;Nordic citizens;Immigration|Nordic countries;en/moving-to-finland/nordic-citizens;7216;Pohjoismaiden kansalaiset (en)
9a2451b5-f0ab-4624-ab36-993f17e90888;en;Registering as a resident;Immigration|Personal identification numbers;en/moving-to-finland/registering-as-a-resident;7339;Asukkaaksi rekisteröityminen (en)
818445d9-3e98-4931-9650-c03f829c110e;en;Municipality of residence in Finland;Immigration|Municipality of residence;en/moving-to-finland/registering-as-a-resident/municipality-of-residence-in-finland;7351;Kotikunta Suomessa uusi (en)
f8782797-8d2a-4af5-b85f-323ca1ec58c1;en;Moving to Finland checklist;Immigration|Check list;en/moving-to-finland/checklist-for-a-person-who-is-moving-to-finland;4389;Suomeen muuttajan muistilista 101 (en)
c9d43e23-ca9a-4abd-b057-d2e26d93db4e;en;Living in Finland;How to find a job in Finland? How to rent an apartment?  Where to get advice in English? Answers to these questions and more in InfoFinland.;en/living-in-finland;;
ea47ea4d-a528-4e9f-813f-805455242c60;en;Settling in Finland;Integration into Finland | Everyday life in Finland | Your rights and obligations in Finland | Finnish social security | Finnish citizenship;en/living-in-finland/settling-in-finland;;
02ae3f57-f036-4593-8448-7ebd336a4a6f;en;Integration into Finland;;en/living-in-finland/settling-in-finland/integration-into-finland;1381;Kotoutuminen Suomeen 101 (en)
2c338ccc-352f-4d67-824a-306413e21b5a;en;Everyday life in Finland;;en/living-in-finland/settling-in-finland/everyday-life-in-finland;7439;Arkielämä Suomessa 101 (en)
2865ba69-c962-40ed-8d65-bcdf5b2cdcba;en;Cost of living in Finland;;en/living-in-finland/settling-in-finland/cost-of-living-in-finland;8103;Hintataso Suomessa 101 (en)
496efaf0-70e8-4c63-b2b8-73584fdfdd6d;en;Do you need an interpreter?;;en/living-in-finland/settling-in-finland/do-you-need-an-interpreter;1395;Tarvitsetko tulkkia? 101 (en)
fb0c05a9-ff56-4a7a-a8a2-f46240a005b7;en;Your rights and obligations in Finland;;en/living-in-finland/settling-in-finland/your-rights-and-obligations-in-finland;1409;Oikeutesi ja velvollisuutesi Suomessa 101 (en)
b9b26068-b383-40ea-b36a-cb30f5e1033a;en;Finnish social security;;en/living-in-finland/settling-in-finland/finnish-social-security;1437;Suomen sosiaaliturva 101 (en)
