sivun_id;Kieli;Nimi valikossa;Kuvaus;URL;Dokumentin ID;Dokumentin nimi
e1d811ca-a89e-4885-a274-b5c434858dc4;fi;Muutto Suomeen;EU-kansalaiset | Ei-EU-kansalaiset | Pohjoismaiden kansalaiset | Suomeen muuttajan muistilista | Rekisteröityminen asukkaaksi | Pikaoppaat Suomeen muuttajalle;muutto;;
51c5216c-a8ea-4112-b281-ba9ce8658c77;fi;Koronavirus ja muutto Suomeen;;fi/muutto-suomeen/koronavirus;8132;Koronavirus ja muutto Suomeen
6349989c-5b2c-4248-966e-acb55c7f5206;fi;EU-kansalaiset;;fi/muutto-suomeen/eu-kansalaiset;7885;EU-kansalaiset 101
183cc97a-7f9d-4168-b878-2a8bb5106b8f;fi;EU-kansalaisen oleskeluoikeuden rekisteröinti;;fi/muutto-suomeen/eu-kansalaiset/eu-kansalaisen-oleskeluoikeuden-rekisterointi;7871;EU-kansalaisen oleskeluoikeuden rekisteröinti
df23804d-1074-4658-bdc1-4f284027f013;fi;Muut kuin EU-kansalaiset;;fi/muutto-suomeen/ei-eu-kansalaiset;;
85f8f2ea-7704-45d3-9a73-adff4c0c57a2;fi;Töihin Suomeen;;fi/muutto-suomeen/ei-eu-kansalaiset/toihin-suomeen;7226;Töihin Suomeen uusi
42aeaa3f-f711-4db3-a7cb-0528dcb4049b;fi;Yrittäjäksi Suomeen;;fi/muutto-suomeen/ei-eu-kansalaiset/suomeen-yrittajaksi;7238;Suomeen yrittäjäksi uusi
d22f24e0-0abf-42db-b14a-9f491f2284ba;fi;Opiskelemaan Suomeen;;fi/muutto-suomeen/ei-eu-kansalaiset/opiskelemaan-suomeen;7252;Opiskelemaan Suomeen uusi
cdc59818-fe2f-4887-8887-3efd6fa17057;fi;Perheenjäsen Suomessa;;fi/muutto-suomeen/ei-eu-kansalaiset/perheenjasenen-luokse-suomeen;7264;Perheenjäsenen luokse Suomeen
d5ba888c-a297-43d6-8d2d-478538e67308;fi;Oleskelulupa puolisolle;;fi/muutto-suomeen/ei-eu-kansalaiset/perheenjasenen-luokse-suomeen/oleskelulupa-puolisolle;7265;Oleskelulupa puolisolle
4d3a09ed-eb6b-48f5-a3e9-f99c5913b8c9;fi;Turvapaikka Suomesta;;fi/muutto-suomeen/ei-eu-kansalaiset/turvapaikanhakijana-suomeen;7312;Turvapaikanhakijana Suomeen uusi
36e3de2f-bea0-412b-8f26-71c1c2c67133;fi;Kiintiöpakolaisena Suomeen;;fi/muutto-suomeen/ei-eu-kansalaiset/pakolaisena-suomeen;7324;Pakolaisena Suomeen uusi
92dd7422-2524-40cf-8282-05776b7733b5;fi;Paluumuutto Suomeen;;fi/muutto-suomeen/ei-eu-kansalaiset/paluumuuttajana-suomeen;813;Paluumuuttajana Suomeen 101
c23f91eb-3256-47a1-8d28-c4fb7e66fb65;fi;Lyhyt oleskelu Suomessa;;fi/muutto-suomeen/ei-eu-kansalaiset/lyhyt-oleskelu-suomessa;823;Matkailijana Suomessa 101
2d8f220c-6b38-4977-b41c-01238bd03dca;fi;Jatko-oleskelulupa;;fi/muutto-suomeen/ei-eu-kansalaiset/jatko-oleskelulupa;776;Jatko-oleskelulupa 101
d2d9a08c-bc2f-4db6-8030-bdc906a91be5;fi;Jos Suomessa oleskelusi syy muuttuu;;fi/muutto-suomeen/ei-eu-kansalaiset/jatko-oleskelulupa/jos-suomessa-oleskelusi-syy-muuttuu;779;Jos Suomessa oleskelusi syy muuttuu 101
5946cdea-2b3d-4622-83f1-685d776945aa;fi;Pysyvä oleskelulupa;;fi/muutto-suomeen/ei-eu-kansalaiset/jatko-oleskelulupa/pysyva-oleskelulupa;7410;Pysyvä oleskelulupa
94a94e4c-720e-4ce1-b1df-68e0e83fdc86;fi;Oleskelulupaongelmat;;fi/muutto-suomeen/ei-eu-kansalaiset/oleskelulupaongelmat;780;Oleskelulupaongelmat 101
cf78ef19-0828-4204-9c7c-4455a4f40154;fi;Kielteinen oleskelulupapäätös;;fi/muutto-suomeen/ei-eu-kansalaiset/oleskelulupaongelmat/poistuminen-suomesta;781;Poistuminen Suomesta 101
df49de1f-9f5f-4c3c-9cae-22a58be08a65;fi;Voinko menettää oleskeluluvan?;;fi/muutto-suomeen/ei-eu-kansalaiset/oleskelulupaongelmat/voinko-menettaa-oleskeluluvan;782;Voinko menettää oleskeluluvan? 101
7ed88fce-2bae-44e2-bfb3-efc5bb9a04d0;fi;Suomessa ilman oleskelulupaa;;fi/muutto-suomeen/ei-eu-kansalaiset/oleskelulupaongelmat/suomessa-ilman-oleskelulupaa;783;Suomessa ilman oleskelulupaa 101
14c38017-018a-49b8-90b2-fed2e155011d;fi;Pohjoismaiden kansalaiset;;fi/muutto-suomeen/pohjoismaiden-kansalaiset;7202;Pohjoismaiden kansalaiset
9a2451b5-f0ab-4624-ab36-993f17e90888;fi;Asukkaaksi rekisteröityminen;;fi/muutto-suomeen/asukkaaksi-rekisteroityminen;7337;Asukkaaksi rekisteröityminen
818445d9-3e98-4931-9650-c03f829c110e;fi;Kotikunta Suomessa;;fi/muutto-suomeen/asukkaaksi-rekisteroityminen/kotikunta-suomessa;7349;Kotikunta Suomessa uusi
f8782797-8d2a-4af5-b85f-323ca1ec58c1;fi;Suomeen muuttajan muistilista;;fi/muutto-suomeen/suomeen-muuttajan-muistilista;820;Suomeen muuttajan muistilista 101
c9d43e23-ca9a-4abd-b057-d2e26d93db4e;fi;Elämä Suomessa;Maahanmuuttajana Suomessa | Työ ja yrittäjyys | Suomen ja ruotsin kieli | Asuminen | Koulutus | Terveys | Perhe | Ongelmatilanteet | Vapaa-aika;elama;;
ea47ea4d-a528-4e9f-813f-805455242c60;fi;Asettuminen Suomeen;Kotoutuminen Suomeen | Arkielämä Suomessa | Oikeutesi ja velvollisuutesi Suomessa | Suomen sosiaaliturva | Suomen kansalaisuus;fi/elama-suomessa/asettuminen-suomeen;;
02ae3f57-f036-4593-8448-7ebd336a4a6f;fi;Kotoutuminen Suomeen;;fi/elama-suomessa/asettuminen-suomeen/kotoutuminen-suomeen;764;Kotoutuminen Suomeen 101
2c338ccc-352f-4d67-824a-306413e21b5a;fi;Arkielämä Suomessa;;fi/elama-suomessa/asettuminen-suomeen/arkielama-suomessa;7436;Arkielämä Suomessa 101
2865ba69-c962-40ed-8d65-bcdf5b2cdcba;fi;Hintataso Suomessa;;fi/elama-suomessa/asettuminen-suomeen/hintataso-suomessa;8100;Hintataso Suomessa 101
496efaf0-70e8-4c63-b2b8-73584fdfdd6d;fi;Tarvitsetko tulkkia?;;fi/elama-suomessa/asettuminen-suomeen/tarvitsetko-tulkkia;765;Tarvitsetko tulkkia? 101
fb0c05a9-ff56-4a7a-a8a2-f46240a005b7;fi;Oikeutesi ja velvollisuutesi Suomessa;;fi/elama-suomessa/asettuminen-suomeen/oikeutesi-ja-velvollisuutesi-suomessa;774;Oikeutesi ja velvollisuutesi Suomessa 101
b9b26068-b383-40ea-b36a-cb30f5e1033a;fi;Suomen sosiaaliturva;;fi/elama-suomessa/asettuminen-suomeen/suomen-sosiaaliturva;775;Suomen sosiaaliturva 101
de90a37a-b2cd-4ad4-9eda-ba221e91fe9a;fi;Suomen kansalaisuus;;fi/elama-suomessa/asettuminen-suomeen/suomen-kansalaisuus;784;Suomen kansalaisuus 101
9e1bbcbb-3024-4047-9c2a-12f82b5d7dcb;fi;Miten Suomen kansalaisuutta voi hakea?;;fi/elama-suomessa/asettuminen-suomeen/suomen-kansalaisuus/miten-suomen-kansalaisuutta-voi-hakea;785;Miten Suomen kansalaisuutta voi hakea? 101
97a59b9d-123c-4250-8750-05efbd4defff;fi;Suomen kansalaisen oikeudet ja velvollisuudet;;fi/elama-suomessa/asettuminen-suomeen/suomen-kansalaisuus/suomen-kansalaisen-oikeudet-ja-velvollisuudet;787;Suomen kansalaisen oikeudet ja velvollisuudet 101
3362efaa-dc06-4bca-8de0-015d80113b34;fi;Muutto pois Suomesta;;fi/elama-suomessa/asettuminen-suomeen/muutto-suomesta-ulkomaille;791;Muutto Suomesta ulkomaille 101
59e2b307-7109-4eb5-81af-03d56ac96522;fi;Työ ja yrittäjyys;Mistä työtä? | Yrityksen perustaminen | Yrittäjän velvollisuudet | Yrittäjän oikeudet | Suomalainen yrityskulttuuri | Tukea yrittäjälle | Verotus | Työntekijän oikeudet ja velvollisuudet | Työnantajan oikeudet ja velvollisuudet | Ulkomainen tutkinto Suomessa | Työttömyysturva | Eläke | Suomalainen työkulttuuri;fi/elama-suomessa/tyo-ja-yrittajyys;;
79d43554-a588-46cb-a5e5-5e3d8b20e65d;fi;Töitä Suomesta;;fi/elama-suomessa/tyo-ja-yrittajyys/mista-tyota;1067;Mistä työtä? 101
7fafb9d3-1ea8-46d1-bde5-b0d366285a7a;fi;Työhakemus ja CV;;fi/elama-suomessa/tyo-ja-yrittajyys/mista-tyota/tyohakemus-ja-cv;1070;Työhakemus ja CV 101
7fe79908-1359-4389-9e7a-c984d2d4f55e;fi;Ulkomainen tutkinto Suomessa;;fi/elama-suomessa/tyo-ja-yrittajyys/ulkomainen-tutkinto-suomessa;1206;Ulkomaiset tutkinnot Suomessa 101
653271ce-765f-490b-ab63-86ac2729e5bc;fi;Työntekijän oikeudet ja velvollisuudet;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet;1139;Työntekijän oikeudet ja velvollisuudet 101
3a70d1dd-c4bb-4c7c-9482-967774e943b9;fi;Yhdenvertaisuus ja tasa-arvo työelämässä;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet/yhdenvertaisuus-ja-tasa-arvo-tyoelamassa;1140;Yhdenvertaisuus ja tasa-arvo työelämässä 101
91b2bf68-e648-4733-8bdc-8294b4bd0e59;fi;Työsuhteen ehdot ja palkka Suomessa;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet/tyosuhteen-ehdot-ja-palkka-suomessa;1141;Työsuhteen ehdoista sopiminen 101
e865cf7a-3137-4a8f-ab99-ff6710867e98;fi;Työsopimuksen sisältö;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet/tyosopimuksen-sisalto;1142;Työsopimuksen sisältö 101
c02fd953-3f3c-4165-8343-a1a8eb38214b;fi;Vuosiloma;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet/vuosiloma;8073;Vuosiloma 101
d10ce58f-1117-492e-a3f3-9841e13d2286;fi;Ammattiliitot;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet/ammattiliitot;1143;Ammattiliitot 101
34fddd90-0389-48ae-b3dd-2fc18fbb1f2a;fi;Työsuojelu;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet/tyosuojelu;1144;Työsuojelu 101
8a877873-8c58-48ed-9948-8ed70182ca16;fi;Työterveyshuolto;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet/tyoterveyshuolto;1145;Työterveyshuolto 101
d11ca985-c4a6-4563-b503-2da7f6d76cd0;fi;Jos sairastut ;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet/jos-sairastut;1146;Jos sairastut  101
99d1fca0-1679-4c26-be62-f4d1758f3a0e;fi;Perhevapaat;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet/perhevapaat;1147;Perhevapaat 101
dd51bd76-8192-4e6b-905c-366d1873c531;fi;Työtodistus;;fi/elama-suomessa/tyo-ja-yrittajyys/tyontekijan-oikeudet-ja-velvollisuudet/tyotodistus;1148;Työtodistus 101
0cf90abc-1be1-410e-8fb1-81027ef34af4;fi;Työelämän ongelmat;;fi/elama-suomessa/tyo-ja-yrittajyys/tyoelaman-ongelmat;7959;Työelämän ongelmat 101
